지역,가맹점명,분류,주소
대전 ,성사진관,미술,대전 서구 갈마동 716 
대전 ,누리렌트카(주),교통수단,대전 서구 갈마동 377-21번지 누리렌트카 
대전 ,둔산북스,도서,"대전 서구 갈마역로 22, 205호 (둔산동) "
대전 ,신서적,도서,대전 서구 갈마역로25번길 7 
대전 ,(주)타오기획,공연,대전광역시 서구  갈마중로30번길 67 
대전 ,캔디포토 더브릴리언트,미술,대전 서구 계룡로 589 
대전 ,아주관광여행사,여행사,대전 서구 계룡로 629번길 22 
대전 ,한국공예인협회,문화체험,"대전광역시 유성구  학하서로 53번길6, 1층 "
대전 ,시민사진관,미술,대전 서구 계백로 1471 
대전 ,관저서적,도서,대전 서구 관저동로 70 (관저2동) 
대전 ,스튜디오포토타운,미술,대전 서구 관저로121번길 8 
대전 ,알프스 투어 앤 골프,여행사,대전 서구 괴정동423-1 
부산 ,(주) 청아여행사,여행사,부산 동구 범일동 조방로 39 썬오피스텔   711 
부산 ,지앤지모텔,숙박,부산 동구 범일동 조방로16번길 9 
부산 ,부영디지털현상소,미술,부산광역시 동구  진성로 5-1 
부산 ,부일스튜디오,미술,부산 동구 수정동 301-4 1층 
부산 ,유모텔,숙박,부산 동구 자성공원로3번길 23-4 
부산 ,상록도서,도서,부산 동구 정공단로 47 (범일동) 
부산 ,PD아트갤러리,미술,부산광역시 동구  조방로26번길 9 
부산 ,월드투어 (주),여행사,부산 해운대구 중동1로 37번길 12 3층 
부산 ,주식회사 투어클래식,여행사,부산 동구 중앙대로 179번길 12 
부산 ,새여관,숙박,부산 동구 중앙대로 243-10 
부산 ,주식회사 흥부투어,여행사,부산 동구 중앙대로 336 한성빌딩 3층 
전북 ,(유)해피투어진성,여행사,전북 군산시 팔마로 147-2 (동흥남동) 
전북 ,한길문고나운점,도서,전북 군산시 하나운로 38 나운프라자 한길문고 (나운2동) 
전북 ,에이본호텔 (주)군산지점,숙박,전북 군산시 해망로 10 
전북 ,신풍장,숙박,전북 김제시 두월로 220 (신풍동) 
전북 ,필모텔,숙박,전북 김제시 교동 벽지산로 258 
전북 ,(유)김제정원관광여행사,여행사,전북 김제시 남북로 164(요촌동) 
전북 ,샵모텔,숙박,전북 김제시 동서1길 42 (옥산동) 
전북 ,황금모텔,숙박,전북 김제시 동서4길 5 
전북 ,꾀꼬리음악사,음악,전북 김제시 동서9길 24-1 (요촌동) 
전북 ,벽골제모텔,숙박,전북 김제시 만경로 23 
전북 ,원모텔,숙박,전북 김제시 백산면 하정로 26 (상정리) 
전북 ,오성모텔,숙박,전라북도 김제시 만경로 45  
전북 ,타임모텔,숙박,전북 김제시 콩쥐팥쥐로 103  
전북 ,김제역,교통수단,전북 김제시 신풍동 13 
충남 ,강경역,교통수단,충남 논산시 강경읍 대흥리 32 
충남 ,마법의성,숙박,충남 논산시 계백로 992-7 
충남 ,건양대학교(서적),도서,충남 논산시 내동 26 
충남 ,논산명재고택,관광지,충남 논산시 노성면 노성산성길 50 
충남 ,(합)중부가나렌트카,교통수단,충남 논산시 부적면 부인길 2   
충남 ,논산화방,미술,충남 논산시 대학로 96 
충남 ,제일복음서원,도서,충남 논산시 반월동  72 
충남 ,(합)동원렌트카,교통수단,충남 논산시 부창동  314-7 
