지역,가맹점명,분류,주소
서울,삼환서점,도서,서울특별시 강동구  구천면로 427 
서울,홀로서기,도서,서울특별시 강동구  동남로75길 13-25 동해빌딩 지하1층 
서울,금성서적,도서,서울 강동구 명일로 266 
서울,스타포토,미술,서울 강동구 명일동 47-17 1 층 104-1 
서울,중계4동 주민자치위원회,문화체험,서울특별시 노원구  덕릉로82길 50 중계4동주민센터 
서울,마들문고,도서,서울특별시 노원구  동일로 1550 고려프라자빌딩 지하1층
서울,노원문화원,문화체험,서울 노원구 동일로 197길 24 
서울,초이스렌트카(주)노원영업소,교통수단,서울 동대문구 망우로 105 신성상가 104호 
서울,노원아트,미술,서울 노원구 상계로 51(상계동) 노원프라자 
서울,브이,숙박,서울 노원구 상계동  704-1 
서울,딘호텔,숙박,서울 노원구 상계동  708-1 
서울,우진스튜디오(우진현상소),미술,서울 노원구 상계동 692-2 유치원상가 103 
서울,(주)예화랑,미술,"서울 강남구 신사동  532-9예영빌딩1층,2층 "
서울,(주)풍월당,음악,서울 강남구 신사동 657-37 성산빌딩 4층 
서울,엘리포토,미술,서울 성북구 보국문로 61 3층 
서울,스튜디오 힘내,미술,서울 성북구 보문로32길 14 3층 
서울,놀숲 성신여대점,도서,서울 성북구 보문로34길 62 (동선동2가)4층 
서울,극단 신명나게,공연,서울특별시 성북구  삼선교로11길 24 4층
서울,한성서적,도서,서울 성북구 삼선동2가  389-2 한성대학내 
서울,(주)베이비수,미술,서울 성북구 상월곡동 23-24 
서울,부청서림,도서,서울 성북구 서경로 116 
서울,금강스튜디오,미술,서울 성북구 석관동 266-21 
서울,(주)바로바로렌트카,교통수단,서울 성북구 성북로 20 
서울,일민미술관 (일민문화재단),미술,서울 종로구 세종대로 152(세종로) 
서울,갤러리조선,미술,서울 종로구 북촌로5길 64(소격동) 
서울,(주)산수국제여행사,여행사,서울 종로구 수송동  58 두산위브파빌리온 637 
서울,꿈의 궁전,숙박,서울 종로구 수표로 26길 9(낙화동) 
서울,누누호텔,숙박,서울 종로구 수표로22길 6 (낙원동) 
서울,AVENUE 162,숙박,서울 종로구 수표로22길 9 
서울,한국성서대학교(서점),도서,서울 노원구 상계동 동일로214길 32 한국성서대학교 미랄관 
서울,노원문고 5매장,도서,서울특별시 노원구  상계로 59 동익빌딩 지하1층
서울,상계2동 주민자치센터,문화체험,서울특별시 노원구  상계로 118 진로마트 
서울,오진관,미술,서울 노원구 상계로 136 1층 
서울,놀숲 노원역점,도서,서울 노원구 상계로 59 (상계동) 2층 1호 
서울,광운대구내서적,도서,서울특별시 노원구  광운로 20 광운대학교 복지관내 2층 서점 
